pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
24864,SM,nse_cm,,POSITRON,POSITRON-SM,,POSITRON-SM,INE0S3H01017,,,,POSITRON ENERGY LIMITED,,,5,300,-1,-1,2,-1,NSE,,,1408579200,,1408579200,0,0,0,0,0,200.20-244.65,0,0,1449425572,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,248533.00,300,0,24465,20020,1,1,1,0,0,1,0,7.6004e+06,0,0,248533,"Stage 1 Short Term ASM scrip,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,The scrip is not regularly traded, and exit may be difficult"
5027,SG,nse_cm,,699GA31A,699GA31A-SG,,699GA31A-SG,IN1420210065,,,,SDL GA 6.99% 2031,,,1,100,-1,-1,2,-1,NSE,,,1310860800,,1310860800,0,0,0,0,0,95.00-105.00,0,0,1449419737,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,327000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+07,0,0,327000,
758294,N0,nse_cm,,637RECL27,637RECL27-N0,,637RECL27-N0,INE020B08FX4,,,,REC 6.37% 2027 SR 249-A,,,1,1,-1,-1,2,-1,NSE,,,1434585600,,1434585600,0,0,0,0,0,80000.00-120000.00,0,0,1449419745,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,300000,0,0,999,
28250,SG,nse_cm,,713WB40,713WB40-SG,,713WB40-SG,IN3420240159,,,,SDL WB 7.13% 2040,,,1,100,-1,-1,2,-1,NSE,,,1419120000,,1419120000,0,0,0,0,0,95.00-105.00,0,0,1449419741,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
14355,SG,nse_cm,,758KL49,758KL49-SG,,758KL49-SG,IN2020220165,,,,SDL KL 7.58% 2049,,,1,100,-1,-1,2,-1,NSE,,,1362268800,,1362268800,0,0,0,0,0,95.00-105.00,0,0,1449419738,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
19368,SM,nse_cm,,CANARYS,CANARYS-SM,,CANARYS-SM,INE0QG301017,,,,CANARYS AUTOMATIONS LTD,,,5,4000,-1,-1,2,-1,NSE,,,1381449600,,1381449600,0,0,0,0,0,24.80-37.10,0,0,1449425571,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,1870312.00,4000,0,3710,2480,1,1,1,0,0,1,0,5.71961e+07,0,0,1870312,"Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,The scrip is not regularly traded, and exit may be difficult"
11483,EQ,nse_cm,,LT,LT-EQ,,LT,INE018A01030,,,,LARSEN & TOUBRO LTD.,,,10,1,-1,-1,2,-1,NSE,,,772416000,,772416000,0,0,0,0,1433376000,3634.40-4442.00,0,0,1449425572,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,24760.00,1,0,444200,363440,1,1,1,0,0,1,0,1.37556e+09,0,0,24760,
22373,SG,nse_cm,,668HR39,668HR39-SG,,668HR39-SG,IN1620200080,,,,SDL HR 6.68% 2039,,,1,100,-1,-1,2,-1,NSE,,,1282435200,,1282435200,0,0,0,0,0,95.00-105.00,0,0,1449419740,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
12281,BL,nse_cm,,ZYDUSLIFE,ZYDUSLIFE-BL,,ZYDUSLIFE-BL,INE010B01027,,,,ZYDUS LIFESCIENCES LTD,,,5,1,-1,-1,2,-1,NSE,,,816220800,,816220800,0,0,0,0,1437868800,903.50-959.35,0,0,1449431128,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,106660.00,1,0,95935,90350,1,1,1,0,0,1,0,1.00623e+09,0,0,106660,
25143,N0,nse_cm,,745ABL34,745ABL34-N0,,745ABL34-N0,INE238A08500,,,,ABL 7.45% 2034 SR 8,,,1,1,-1,-1,2,-1,NSE,,,1410307200,,1410307200,0,0,0,0,1440201600,80000.00-120000.00,0,0,1449419741,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,392500,0,0,999,
17440,BL,nse_cm,,NETWEB,NETWEB-BL,,NETWEB-BL,INE0NT901020,,,,NETWEB TECH INDIA LTD,,,10,1,-1,-1,2,-1,NSE,,,1374883200,,1374883200,0,0,0,0,1440288000,2989.20-3174.00,0,0,1449431141,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,31216.00,1,0,317400,298920,1,1,1,0,0,1,0,5.66539e+07,0,0,31216,
24596,EQ,nse_cm,,RELTD,RELTD-EQ,,RELTD,INE206N01018,,,,RAVINDRA ENERGY LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1406764800,,1406764800,0,0,1411344000,1411862400,0,122.85-184.28,0,0,1449425572,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,651009.00,1,0,18428,12285,1,1,1,0,0,1,0,1.78554e+08,0,0,651009,The scrip PE is greater than 50 for previous 4 trailing quarters
13088,BL,nse_cm,,AIAENG,AIAENG-BL,,AIAENG-BL,INE212H01026,,,,AIA ENGINEERING LIMITED,,,10,1,-1,-1,2,-1,NSE,,,818985600,,818985600,0,0,0,0,1441497600,3652.90-3878.70,0,0,1449431134,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,25943.00,1,0,387870,365290,1,1,1,0,0,1,0,9.33204e+07,0,0,25943,
14363,BL,nse_cm,,APOLLOPIPE,APOLLOPIPE-BL,,APOLLOPIPE-BL,INE126J01016,,,,APOLLO PIPES LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1257897600,,1257897600,0,0,0,0,1441497600,283.65-301.15,0,0,1449431137,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,338202.00,1,0,30115,28365,1,1,1,0,0,1,0,4.40482e+07,0,0,338202,
23170,N1,nse_cm,,8254KSFP29,8254KSFP29-N1,,8254KSFP29-N1,INE0DZE07028,,,,KISETSU 8.254% 2029 SRL2,,,1,1,-1,-1,2,-1,NSE,,,1395360000,,1395360000,0,0,0,0,0,80000.00-120000.00,0,0,1449419740,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,163.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,5000,0,0,163,
19186,SG,nse_cm,,762AS33,762AS33-SG,,762AS33-SG,IN1220230115,,,,SDL AS 7.62% 2033,,,1,100,-1,-1,2,-1,NSE,,,1381017600,,1381017600,0,0,0,0,0,95.00-105.00,0,0,1449419740,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
25966,SG,nse_cm,,716AP47,716AP47-SG,,716AP47-SG,IN1020240579,,,,SDL AP 7.16% 2047,,,1,100,-1,-1,2,-1,NSE,,,1415145600,,1415145600,0,0,0,0,0,95.00-105.00,0,0,1449419741,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
