pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
977321,F,bse_cm,,708PFCL35,708PFCL35,,708PFCL35,INE134E08NY9,,,,PFCL-7.08%-27-11-35-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
961851,F,bse_cm,,900KPL29,900KPL29,,900KPL29,INE363O07095,,,,KPL-9%-25-3-29-TFBOND,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,139558,93040,1,1,1,0,0,1,0,-1,0,0,0,
800364,G,bse_cm,,GS12JUN28C,GS12JUN28C,,GS12JUN28C,IN000628C049,,,,GS12JUN28C,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,7276,5954,1,1,1,0,0,1,0,-1,0,0,0,
975562,F,bse_cm,,981SSFL26,981SSFL26,,981SSFL26,INE572J07703,,,,SSFL-9.81%-2-4-26-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.19485e+07,7.96564e+06,1,1,1,0,0,1,0,-1,0,0,0,
976068,F,bse_cm,,915AFPL027,915AFPL027,,915AFPL027,INE985V07082,,,,AFPL-9.15%-RESET RATE- 30-9-27,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,6666664,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,8e+06,5.33333e+06,1,1,1,0,0,1,0,-1,0,0,0,
974397,F,bse_cm,,763GIL27,763GIL27,,763GIL27,INE047A08208,,,,GIL-7.63%-01-2-27-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,100000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+08,8e+07,1,1,1,0,0,1,0,-1,0,0,0,
977002,F,bse_cm,,10EFL31,10EFL31,,10EFL31,INE612U07142,,,,EFL-10%-7-8-31-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
199053,B,bse_cm,,ICICILOINAV,ICICILOINAV,,ICICILOINAV,INF109KB10T8,,,,INAV ICICI Prudentil Nifty,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
543072,F,bse_cm,,07BPB,07BPB,,07BPB,INF204KB11R9,,,,Nippon India Mutual Fund,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,2,1,1,1,1,0,0,1,0,-1,0,0,0,
974727,F,bse_cm,,825MMFS28A,825MMFS28A,,825MMFS28A,INE774D07VM4,,,,MMFSL-8.25%-28-03-28-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,12000,8000,1,1,1,0,0,1,0,-1,0,0,0,
